Range (m),Velocity (m/s),Detected,Estimated Range (m),Error Range (m),Estimated Velocity (m/s),Error Velocity (m),False Positives
28.0012195121951,-30,1,27.5513171021495,0.449902410045631,-29.9798668184688,0.0201331815311789,0
29.0014634146341,-30,1,29.6168346099139,0.615371195279725,-29.9837844210338,0.0162155789661753,0
30.0017073170732,-30,1,31.5819581327016,1.58025081562839,-29.9837129499,0.0162870500999723,0
31.0019512195122,-30,1,30.0725524200788,0.929398799433379,-29.9828311845745,0.0171688154254959,0
32.0021951219512,-30,1,32.2662487623491,0.264053640397904,-29.9843148733327,0.0156851266673428,0
97.000243902439,-6,1,97.5346410079228,0.534397105483762,-5.97644549821301,0.0235545017869878,0
97.2002926829268,-6,1,97.3562527183489,0.155960035422027,-5.98834985090968,0.0116501490903191,0
97.4003414634146,-6,1,97.0384394394229,0.361902023991718,-5.99007422108639,0.00992577891361357,0
97.6003902439024,-6,1,96.7148978607302,0.885492383172192,-5.98605065021789,0.0139493497821119,0
97.8004390243902,-6,1,96.2895446949616,1.51089432942868,-6.0003284321242,0.000328432124200084,0
8.33365853658537,-8,0,NaN,0,NaN,0,0
8.60039024390244,-8,0,NaN,0,NaN,0,0
8.86712195121951,-8,0,NaN,0,NaN,0,0
9.13385365853659,-8,0,NaN,0,NaN,0,0
9.40058536585366,-8,0,NaN,0,NaN,0,0
44.8328048780488,13,1,44.9193994169215,0.0865945388726672,13.0152887890345,0.0152887890345124,0
44.3993658536585,13,1,45.3625007119753,0.963134858316806,13.0082047801471,0.0082047801470555,0
43.9659268292683,13,1,42.7651076136948,1.20081921557345,13.0152039931316,0.0152039931316157,0
43.532487804878,13,1,43.2106354351254,0.321852369752605,13.0145282514037,0.0145282514037195,0
43.0990487804878,13,1,43.8831284141646,0.784079633676832,13.0165527986984,0.0165527986984308,0
62.8335365853659,-5,1,61.8923588515414,0.941177733824482,-4.99863585074913,0.0013641492508718,0
63.000243902439,-5,1,61.7519549613843,1.24828894105476,-4.99263722945614,0.00736277054386481,0
63.1669512195122,-5,1,64.5884420830561,1.42149086354392,-4.99620713076142,0.00379286923858402,0
63.3336585365854,-5,1,64.5165753721498,1.18291683556439,-4.99608560757052,0.00391439242947644,0
63.5003658536585,-5,1,64.2682669769631,0.76790112330454,-4.99660563347475,0.00339436652525471,0
109.166707317073,-1,1,108.572329904964,0.594377412108798,-0.992325067348746,0.00767493265125441,0
109.200048780488,-1,1,108.399103739275,0.800945041212387,-0.98349108022721,0.0165089197727905,0
109.233390243902,-1,1,108.36609676057,0.867293483332062,-0.980550500328953,0.0194494996710469,0
109.266731707317,-1,1,108.226963355787,1.03976835152986,-0.97596463193199,0.0240353680680097,0
109.300073170732,-1,1,108.194641094794,1.10543207593781,-0.986777261356979,0.0132227386430211,0
43.1667073170732,-1,1,43.9956380279226,0.828930710849427,-0.984935667374441,0.0150643326255594,0
43.2000487804878,-1,1,43.8963231920211,0.696274411533317,-0.98541092245105,0.0145890775489503,0
43.2333902439024,-1,1,43.8220487255909,0.588658481688455,-0.98586597142606,0.0141340285739404,0
43.2667317073171,-1,1,43.7653652606171,0.498633553300067,-0.987372354948034,0.0126276450519665,0
43.3000731707317,-1,1,43.6993379189519,0.399264748220183,-0.983936436375206,0.0160635636247937,0
39.1667073170732,-1,1,39.0806352204778,0.086072096595359,-0.986314022814806,0.0136859771851937,0
39.2000487804878,-1,1,39.0533203578712,0.146728422616647,-0.985596298587212,0.0144037014127882,0
39.2333902439024,-1,1,39.0209005395438,0.212489704358681,-0.985900911383746,0.0140990886162544,0
39.2667317073171,-1,1,38.9889030297997,0.277828677517412,-0.985637709238724,0.0143622907612758,0
39.3000731707317,-1,1,38.9600785469993,0.339994623732402,-0.986357751772845,0.0136422482271552,0
27.8323170731707,25,1,26.9932791540393,0.839037919131428,24.985028897346,0.0149711026539556,0
26.9987804878049,25,1,27.8659696105553,0.86718912275041,24.9803104352881,0.0196895647118716,0
26.165243902439,25,1,25.6652008312712,0.50004307116787,24.9863064415306,0.0136935584693703,0
25.3317073170732,25,1,23.4483019196372,1.88340539743595,24.9817024593779,0.0182975406221004,0
24.4981707317073,25,1,24.3352085611867,0.162962170520633,24.9842529758016,0.0157470241983795,0
140.166219512195,11,1,141.43474168804,1.26852217584522,11.0116360148991,0.0116360148990911,0
139.799463414634,11,1,138.527392071921,1.27207134271299,10.978829841902,0.0211701580979646,0
139.432707317073,11,1,138.994425453315,0.43828186375859,10.9825045412237,0.0174954587762635,0
139.065951219512,11,1,139.288346957164,0.222395737651425,10.9855318307601,0.0144681692399118,0
138.699195121951,11,1,139.945063239686,1.24586811773474,10.990908721849,0.00909127815100774,0
40.3343902439024,-26,1,41.1991828805954,0.864792636692925,-25.9843348007545,0.0156651992455146,0
41.2012682926829,-26,1,40.5236220692115,0.677646223471406,-25.9730400826221,0.0269599173779298,0
42.0681463414634,-26,1,42.5750046536593,0.506858312195902,-25.9845664494824,0.0154335505175673,0
42.9350243902439,-26,1,44.7682132732271,1.83318888298317,-25.9841752508143,0.0158247491857253,0
43.8019024390244,-26,1,43.4974769941438,0.304425444880579,-25.9869214582528,0.0130785417471877,0
50.4996341463415,9,1,51.0412696437749,0.541635497433433,9.01044148718075,0.0104414871807528,0
50.1995609756098,9,1,51.4691654572557,1.26960448164592,9.01006361375974,0.0100636137597441,0
49.899487804878,9,1,48.5690969912683,1.33039081360977,9.00599701300775,0.00599701300775202,0
49.5994146341463,9,1,48.9728648075635,0.626549826582824,9.00898119494138,0.0089811949413825,0
49.2993414634146,9,1,49.2116653205664,0.0876761428482737,9.00848351464911,0.0084835146491109,0
62.000243902439,-6,1,62.8301278699074,0.829883967468398,-5.98181535397335,0.0181846460266515,0
62.2002926829268,-6,1,62.533396454988,0.333103772061207,-5.98411239557108,0.0158876044289187,0
62.4003414634146,-6,1,62.3823339567649,0.018007506649738,-5.98302375230205,0.0169762476979498,0
62.6003902439024,-6,1,62.2113895448055,0.38900069909689,-5.9871210048403,0.0128789951596984,0
62.8004390243902,-6,1,61.9513282183661,0.849110806024164,-5.98488035097519,0.0151196490248147,0
26.165487804878,29,1,25.6159530642,0.549534740678094,28.9977871099338,0.00221289006620395,0
25.1985853658537,29,1,23.5378361262386,1.66074923961507,28.995378240118,0.00462175988203839,0
24.2316829268293,29,1,24.9291963961265,0.697513469297252,28.9972554922488,0.00274450775123114,0
23.2647804878049,29,1,22.783509205455,0.48127128234988,28.9980962393144,0.00190376068560028,0
22.2978780487805,29,1,20.7975734765021,1.50030457227837,28.9936504016699,0.00634959833014648,0
12.8325609756098,19,0,NaN,0,NaN,0,0
12.1990731707317,19,0,NaN,0,NaN,0,0
11.5655853658537,19,0,NaN,0,NaN,0,0
10.9320975609756,19,0,NaN,0,NaN,0,0
10.2986097560976,19,0,NaN,0,NaN,0,0
29.6678048780488,-28,1,31.9871674811371,2.31936260308828,-28.0067885757377,0.00678857573773328,0
30.6013658536585,-28,1,30.6757283132245,0.0743624595659433,-28.0119953073535,0.0119953073535406,0
31.5349268292683,-28,1,32.6535416383661,1.11861480909782,-28.0107543231887,0.0107543231887384,0
32.4684878048781,-28,1,31.808739934582,0.659747870296012,-28.0032085273712,0.00320852737115374,0
33.4020487804878,-28,1,33.8886976667106,0.486648886222838,-28.0109095114101,0.0109095114100697,0
52.6678048780488,-28,1,51.8405417300849,0.827263147963862,-28.0102085879703,0.0102085879702507,0
53.6013658536585,-28,1,54.0854588761465,0.48409302248799,-28.0119615721582,0.0119615721581923,0
54.5349268292683,-28,1,56.215442329505,1.68051550023672,-28.0104864307437,0.010486430743736,0
55.4684878048781,-28,1,55.2157912930622,0.252696511815806,-28.0091622742439,0.00916227424385241,0
56.4020487804878,-28,1,57.2997567003173,0.897707919829479,-28.0136358970458,0.0136358970457522,0
113.998536585366,36,0,NaN,0,NaN,0,0
112.798243902439,36,0,NaN,0,NaN,0,0
111.597951219512,36,0,NaN,0,NaN,0,0
110.397658536585,36,1,109.521354848152,0.876303688433808,35.3866731763139,0.61332682368608,0
109.197365853659,36,0,NaN,0,NaN,0,0
136.334146341463,-20,1,136.801550945688,0.467404604224896,-19.9798024521627,0.020197547837288,0
137.000975609756,-20,1,139.176773704692,2.175798094936,-19.9747480737152,0.0252519262847954,0
137.667804878049,-20,1,138.409756581451,0.741951703402236,-19.9869006097328,0.0130993902672216,0
138.334634146341,-20,1,137.24090380154,1.09373034480143,-19.9993236235095,0.000676376490513775,0
139.001463414634,-20,1,139.690558286024,0.689094871389926,-19.9846825603225,0.0153174396774602,0
105.498658536585,33,1,106.016186806316,0.517528269730732,33.0067429651907,0.00674296519073181,0
104.398390243902,33,1,104.055999117734,0.342391126168224,33.0098220695399,0.0098220695398723,0
103.29812195122,33,1,102.280013778244,1.01810817297573,33.0150971294803,0.0150971294802886,0
102.197853658537,33,1,100.242656312617,1.95519734591984,33.004070758483,0.00407075848303862,0
101.097585365854,33,1,101.851986380308,0.754401014454814,32.9965920789575,0.00340792104254461,0
48.4993902439024,15,1,46.8729243751667,1.62646586873579,14.9895223382764,0.0104776617236499,0
47.9992682926829,15,1,47.4251810033301,0.574087289352846,14.9919789207133,0.00802107928674367,0
47.4991463414634,15,1,48.0667050751743,0.567558733710868,14.9890037066569,0.0109962933431191,0
46.9990243902439,15,1,45.2584902824277,1.74053410781616,14.9901925870365,0.00980741296352861,0
46.4989024390244,15,1,46.182210681306,0.316691757718409,14.9901899187625,0.00981008123752147,0
27.3324390243902,22,1,27.5682547681689,0.235815743778691,22.0074458016159,0.00744580161592623,0
26.5989268292683,22,1,25.2917487040629,1.30717812520542,22.0047654472522,0.00476544725220407,0
25.8654146341463,22,1,25.9658401542281,0.100425520081732,22.0064699290035,0.00646992900352572,0
25.1319024390244,22,1,23.6884878590029,1.44341458002152,22.0073196798379,0.00731967983792003,0
24.3983902439024,22,1,24.6110408197314,0.212650575828924,22.0085250483076,0.00852504830762513,0
9.00024390243902,-6,0,NaN,0,NaN,0,0
9.20029268292683,-6,0,NaN,0,NaN,0,0
9.40034146341463,-6,0,NaN,0,NaN,0,0
9.60039024390244,-6,0,NaN,0,NaN,0,0
9.80043902439024,-6,0,NaN,0,NaN,0,0
124.165243902439,35,1,122.173451841838,1.99179206060118,34.9562035165613,0.043796483438669,0
122.998292682927,35,1,123.32387353862,0.325580855693218,34.9660156554514,0.0339843445486139,0
121.831341463415,35,1,121.44781612424,0.383525339174483,34.987656968663,0.0123430313370463,0
120.664390243902,35,1,119.63673668317,1.02765356073273,34.975190690348,0.0248093096520208,0
119.49743902439,35,1,117.697061466381,1.80037755800923,34.9846618065932,0.0153381934068122,0
116.833292682927,1,1,118.779091160871,1.94579847794434,1.00653248039518,0.00653248039517518,0
116.799951219512,1,1,118.332452927697,1.53250170818471,0.991414666382515,0.00858533361748504,0
116.766609756098,1,1,115.411987749926,1.3546220061712,0.99424085839887,0.00575914160113022,0
116.733268292683,1,1,115.360832463258,1.37243582942527,0.997659083553619,0.00234091644638124,0
116.699926829268,1,1,115.173059635468,1.52686719380057,0.972997583838082,0.0270024161619182,0
30.4998780487805,3,1,30.2999512310875,0.199926817692944,3.01445417107647,0.0144541710764678,0
30.3998536585366,3,1,30.3727190682381,0.0271345902985196,3.01396080697882,0.0139608069788171,0
30.2998292682927,3,1,30.4636160394106,0.163786771117948,3.01406460228618,0.014064602286183,0
30.1998048780488,3,1,30.5861040099187,0.386299131869887,3.01371310430621,0.0137131043062149,0
30.0997804878049,3,1,30.7396819825831,0.639901494778194,3.01535248042923,0.0153524804292284,0
108.165487804878,29,1,108.949966132455,0.784478327577389,28.9934830083478,0.00651699165224073,0
107.198585365854,29,1,107.05471603315,0.1438693327039,28.9989671399401,0.00103286005988679,0
106.231682926829,29,1,105.043743943519,1.18793898331074,28.9968319774895,0.00316802251045445,0
105.264780487805,29,1,102.793099198142,2.47168128966254,28.9774629256801,0.0225370743198816,0
104.29787804878,29,1,104.298247519391,0.000369470610536382,28.9978636718749,0.00213632812511833,0
91.3334146341463,-2,1,91.6012653636385,0.26785072949221,-1.99001083536389,0.00998916463611343,0
91.4000975609756,-2,1,91.5470891356863,0.146991574710668,-1.98844246879617,0.0115575312038265,0
91.4667804878049,-2,1,91.4735416993025,0.00676121149763276,-1.9912189331947,0.008781066805299,0
91.5334634146341,-2,1,91.4288293143926,0.104634100241569,-1.99142918932717,0.0085708106728295,0
91.6001463414634,-2,1,91.3400254221409,0.260120919322532,-1.99252884761498,0.00747115238501572,0
85.000487804878,-12,1,86.6275864666862,1.62709866180811,-11.9876934128542,0.0123065871457833,0
85.4005853658537,-12,1,85.9303757009908,0.52979033513715,-11.9939793049762,0.00602069502384595,0
85.8006829268293,-12,1,85.5950590651763,0.205623861652967,-11.9976091475778,0.0023908524221774,0
86.2007804878049,-12,1,85.1685455119392,1.03223497586563,-11.9828881734303,0.0171118265696624,0
86.6008780487805,-12,1,87.8052855573313,1.20440750855086,-12.0003536220291,0.000353622029098943,0
30.3321951219512,28,1,30.1106446381555,0.221550483795752,28.0112744572147,0.0112744572147037,0
