Range (m),Velocity (m/s),Detected,Estimated Range (m),Error Range (m),Estimated Velocity (m/s),Error Velocity (m),False Positives
25.1658274647887,11,0,NaN,0,NaN,0,0
24.7989929577465,11,0,NaN,0,NaN,0,0
24.4321584507042,11,0,NaN,0,NaN,0,0
24.065323943662,11,0,NaN,0,NaN,0,0
23.6984894366197,11,0,NaN,0,NaN,0,0
142.168116197183,-19,1,142.98647717143,0.818360974247383,-19.0377882562288,0.0377882562287937,0
142.80173943662,-19,1,142.4550284276,0.34671100902014,-19.0076245027544,0.00762450275443882,0
143.435362676056,-19,1,141.54782478591,1.88753789014675,-19.0436322577666,0.0436322577666317,0
144.068985915493,-19,1,140.713175825206,3.35581009028661,-19.0214190428462,0.0214190428462402,0
144.70260915493,-19,1,150.854823583504,6.15221442857469,-19.0515488112871,0.0515488112871232,0
99.1658274647887,11,1,105.303516011524,6.13768854673494,11.0193016870751,0.0193016870751013,0
98.7989929577465,11,1,90.7078808230878,8.09111213465867,11.0401137887046,0.0401137887045735,0
98.4321584507042,11,1,92.1780648747253,6.25409357597891,11.0127378743754,0.0127378743753521,0
98.065323943662,11,1,93.2241429642793,4.84118097938268,11.014416541094,0.0144165410939632,0
97.6984894366197,11,1,94.6708266021797,3.02766283444006,11.0189208151104,0.0189208151104285,0
31.1658274647887,11,0,NaN,0,NaN,0,0
30.7989929577465,11,0,NaN,0,NaN,0,0
30.4321584507042,11,0,NaN,0,NaN,0,0
30.065323943662,11,0,NaN,0,NaN,0,0
29.6984894366197,11,0,NaN,0,NaN,0,0
53.6678873239437,-16,1,60.6520696258015,6.98418230185784,-16.008364457803,0.00836445780304373,0
54.2014647887324,-16,1,59.4772391001531,5.27577431142067,-16.0062750240218,0.00627502402183211,0
54.7350422535211,-16,1,58.5193681427932,3.78432588927208,-16.0073096460139,0.00730964601392969,0
55.2686197183099,-16,1,57.8408537831485,2.57223406483863,-16.0098642421674,0.00986424216741,0
55.8021971830986,-16,1,57.1817275200002,1.37953033690162,-16.010750759708,0.0107507597080208,0
64.5025176056338,-33,1,69.6612732095175,5.15875560388369,-32.9898055016391,0.0101944983609386,0
65.6030211267606,-33,1,68.2347551214222,2.63173399466159,-32.990928143184,0.00907185681595024,0
66.7035246478873,-33,1,67.3501681920797,0.646643544192358,-32.9867811065047,0.013218893495285,0
67.8040281690141,-33,1,65.5845976924534,2.21943047656066,-33.0080808367255,0.00808083672554005,0
68.9045316901408,-33,1,76.4918991859386,7.58736749579776,-32.9891101681922,0.0108898318078019,0
69.9986267605634,18,1,71.0002003886039,1.00157362804052,17.9760055933102,0.023994406689809,0
69.3983521126761,18,1,72.6452746425778,3.24692252990177,17.9819766218442,0.0180233781557533,0
68.7980774647887,18,1,74.5694529591757,5.77137549438699,17.9741617337847,0.0258382662153025,0
68.1978028169014,18,1,60.3662917470556,7.83151106984582,17.9942241157214,0.00577588427864839,0
67.5975281690141,18,1,62.2931170713411,5.30441109767301,17.9659943078292,0.0340056921708083,0
3.99908450704225,12,0,NaN,0,NaN,0,0
3.5989014084507,12,0,NaN,0,NaN,0,0
3.19871830985915,12,0,NaN,0,NaN,0,0
2.79853521126761,12,0,NaN,0,NaN,0,0
2.39835211267606,12,0,NaN,0,NaN,0,0
18.5020598591549,-27,0,NaN,0,NaN,0,0
19.4024718309859,-27,0,NaN,0,NaN,0,0
20.3028838028169,-27,0,NaN,0,NaN,0,0
21.2032957746479,-27,0,NaN,0,NaN,0,0
22.1037077464789,-27,0,NaN,0,NaN,0,0
90.3339436619718,-8,1,92.571496337444,2.23755267547219,-8.00477968716022,0.0047796871602177,0
90.6007323943662,-8,1,92.4829882173152,1.88225582294898,-8.00354168122076,0.00354168122075826,0
90.8675211267606,-8,1,91.7648146474289,0.897293520668342,-7.9926280157833,0.00737198421669749,0
91.1343098591549,-8,1,91.4494895639806,0.315179704825667,-8.01360148214908,0.0136014821490829,0
91.4010985915493,-8,1,91.3978769209565,0.00322167059275102,-7.99926932053094,0.000730679469060469,0
70.1644542253521,29,1,69.72188090769,0.442573317662109,29.0019830754831,0.00198307548306786,0
69.1973450704225,29,1,72.6665744963979,3.46922942597534,28.9994620305047,0.000537969495283619,0
68.230235915493,29,1,59.7922427826295,8.43799313286343,29.0136906979571,0.0136906979571236,0
67.2631267605634,29,1,61.9986388286695,5.26448793189383,29.0026967453473,0.00269674534729347,0
66.2960176056338,29,1,63.8836176487718,2.41239995686202,29.0012556136813,0.00125561368126981,0
92.168573943662,-25,1,91.7658544788656,0.402719464796334,-25.0098227894154,0.0098227894153986,0
93.0022887323944,-25,1,90.5282418089096,2.47404692348479,-25.0201883276263,0.0201883276263111,0
93.8360035211268,-25,1,89.394529645935,4.44147387519172,-24.9407188584565,0.0592811415434937,0
94.6697183098591,-25,1,100.296949684258,5.62723137439873,-24.9962337752087,0.00376622479134525,0
95.5034330985916,-25,1,98.6270446508151,3.12361155222358,-25.0123085871853,0.0123085871853164,0
84.8309683098592,31,1,86.2379039654839,1.40693565562478,30.947248836999,0.0527511630010267,0
83.797161971831,31,1,74.5152307257399,9.2819312460911,30.972445061337,0.0275549386630054,0
82.7633556338028,31,1,76.5972037636579,6.16615187014496,30.9425441686083,0.0574558313917102,0
81.7295492957746,31,1,78.6298592108724,3.09969008490225,30.9650461689833,0.0349538310167006,0
80.6957429577465,31,1,80.0634895940003,0.632253363746187,30.9654754008467,0.0345245991532721,0
47.1658274647887,11,1,43.3634895456905,3.80233791909823,11.023071005119,0.0230710051190215,0
46.7989929577465,11,1,43.8929348262557,2.90605813149078,11.0277447238531,0.0277447238531217,0
46.4321584507042,11,1,44.358796952925,2.07336149777918,11.0248573885592,0.0248573885591767,0
46.065323943662,11,1,44.6722620935116,1.39306185015035,11.0264446043739,0.0264446043739461,0
45.6984894366197,11,1,44.9589014147524,0.739588021867355,11.0258202237928,0.0258202237928398,0
86.9995422535211,6,1,84.7287780853678,2.27076416815338,6.04672513361152,0.046725133611524,0
86.7994507042254,6,1,84.9952722018206,1.80417850240475,6.03835240472556,0.0383524047255603,0
86.5993591549296,6,1,85.3764353613166,1.22292379361299,6.03817817060135,0.0381781706013458,0
86.3992676056338,6,1,85.5913321625043,0.807935443129495,6.01985726092416,0.0198572609241641,0
86.199176056338,6,1,85.7424468840839,0.456729172254114,6.03668162671588,0.0366816267158825,0
13.3321126760563,16,0,NaN,0,NaN,0,0
12.7985352112676,16,0,NaN,0,NaN,0,0
12.2649577464789,16,0,NaN,0,NaN,0,0
11.7313802816901,16,0,NaN,0,NaN,0,0
11.1978028169014,16,0,NaN,0,NaN,0,0
134,0,1,127.796156257086,6.20384374291429,0.0285578192919778,0.0285578192919778,0
134,0,1,127.840240258821,6.159759741179,0.0130026140970093,0.0130026140970093,0
134,0,1,127.636541302338,6.36345869766168,0.0368049602649117,0.0368049602649117,0
134,0,1,127.748473405658,6.25152659434195,0.00480026981217097,0.00480026981217097,0
134,0,1,127.770943317947,6.2290566820534,0.0137774475324245,0.0137774475324245,0
120.331654929577,22,1,121.561604133161,1.22994920358343,22.024254572475,0.02425457247503,0
119.597985915493,22,0,NaN,0,NaN,0,0
118.864316901408,22,0,NaN,0,NaN,0,0
118.130647887324,22,1,113.551717278834,4.57893060848988,22.065387796465,0.0653877964649823,0
